annotation_id,image_path,observation_id,individual_id,body_part,bbox_x,bbox_y,bbox_w,bbox_h,img_width,img_height,split,notes,created_at
87ff47a5d1e7,data/sources/inat/images/9777807/13386355.jpg,inat_9777807,otter-0001,whole_body,1,75,482,291,568,426,,,2026-07-28T14:57:11+00:00
5f20964cc2f5,data/sources/inat/images/96561538/160439978.jpeg,inat_96561538,otter-0002,whole_body,207,366,1458,711,2048,1281,,,2026-07-28T14:58:55+00:00
ad55e95a8503,data/sources/inat/images/96561538/160439978.jpeg,inat_96561538,otter-0002,throat,229,545,489,443,2048,1281,,,2026-07-28T14:59:12+00:00
49e1946e4e0b,data/sources/inat/images/96561538/160439893.jpeg,inat_96561538,otter-0002,whole_body,316,311,1602,778,2048,1281,,,2026-07-28T15:02:30+00:00
43ee637213a1,data/sources/inat/images/96561538/160439819.jpeg,inat_96561538,otter-0002,whole_body,381,335,1537,732,2048,1281,,,2026-07-28T15:03:13+00:00
ae39b2814991,data/sources/inat/images/96561538/160439755.jpeg,inat_96561538,otter-0002,whole_body,267,357,1123,638,2048,1282,,,2026-07-28T15:03:40+00:00
27dddae8202e,data/sources/inat/images/96561538/160439705.jpeg,inat_96561538,otter-0002,whole_body,34,513,1113,492,2048,1282,,,2026-07-28T15:04:20+00:00
dbd054a8ae0e,data/sources/inat/images/96561538/160439705.jpeg,inat_96561538,otter-0002,throat,188,749,489,207,2048,1282,,,2026-07-28T15:04:29+00:00
65b859dcccdf,data/sources/inat/images/96561538/160439663.jpeg,inat_96561538,otter-0002,throat,441,614,552,277,2048,1282,,,2026-07-28T15:04:47+00:00
88d9b520730c,data/sources/inat/images/96561538/160439663.jpeg,inat_96561538,otter-0002,whole_body,239,475,1248,475,2048,1282,,,2026-07-28T15:04:57+00:00
65940c8f0e66,data/sources/inat/images/96561538/160439563.jpeg,inat_96561538,otter-0002,whole_body,800,564,1051,448,2048,1281,,,2026-07-28T15:05:31+00:00
e9de16fbf850,data/sources/inat/images/96561538/160439563.jpeg,inat_96561538,otter-0002,throat,853,677,241,277,2048,1281,,,2026-07-28T15:05:59+00:00
efb1f525439f,data/sources/inat/images/9777807/13386356.jpg,inat_9777807,otter-0001,whole_body,1,63,485,307,568,426,,,2026-07-28T15:06:47+00:00
e4b61e1fb48a,data/sources/inat/images/9777807/13386356.jpg,inat_9777807,otter-0001,throat,241,160,118,143,568,426,,,2026-07-28T15:07:00+00:00
161bb023db05,data/sources/inat/images/9477593/12899962.jpeg,inat_9477593,otter-0004,whole_body,1060,258,378,535,2048,1536,,,2026-07-28T15:10:20+00:00
c39b19f25aaa,data/sources/inat/images/89066977/147031476.jpeg,inat_89066977,otter-0005,whole_body,152,99,1766,1426,2048,1536,,,2026-07-28T15:12:14+00:00
77924184e524,data/sources/inat/images/89066977/147031476.jpeg,inat_89066977,otter-0005,throat,359,525,889,925,2048,1536,,,2026-07-28T15:12:34+00:00
d91687993d0c,data/sources/inat/images/8748597/11744596.jpg,inat_8748597,otter-0006,whole_body,288,187,794,510,1500,1000,,,2026-07-28T15:14:21+00:00
ab71b02c8fdd,data/sources/inat/images/8504784/11347498.jpg,inat_8504784,otter-0007,whole_body,436,229,590,952,2048,1366,,,2026-07-28T15:16:27+00:00
8f892c16d3f9,data/sources/inat/images/8504783/11347496.jpg,inat_8504783,otter-0008,whole_body,320,371,422,754,2048,1369,,,2026-07-28T15:17:12+00:00
8992ab11e36b,data/sources/inat/images/8504782/11347489.jpg,inat_8504782,otter-0009,whole_body,601,259,293,437,1222,787,,,2026-07-28T15:18:12+00:00
eed248ac3cf9,data/sources/inat/images/8504781/11347486.jpg,inat_8504781,otter-0010,whole_body,123,388,489,718,2048,1358,,,2026-07-28T15:19:06+00:00
21542fb9c6f6,data/sources/inat/images/8504780/11347484.jpg,inat_8504780,otter-0010,whole_body,371,320,424,672,2048,1365,,,2026-07-28T15:19:50+00:00
0cf7a9690741,data/sources/inat/images/8504778/11347477.jpg,inat_8504778,otter-0011,whole_body,277,154,706,1137,2048,1361,,,2026-07-28T15:20:49+00:00
cc02f6b0e764,data/sources/inat/images/8504775/11347470.jpg,inat_8504775,otter-0011,whole_body,186,308,549,918,2048,1342,,,2026-07-28T15:22:03+00:00
29c41782c888,data/sources/inat/images/8413195/11197847.jpeg,inat_8413195,otter-0012,whole_body,1672,524,126,203,1920,1103,,,2026-07-28T15:23:21+00:00
a92f32f7bb37,data/sources/inat/images/82493618/136997571.jpg,inat_82493618,otter-0013,whole_body,1364,402,255,361,2048,1367,,,2026-07-28T15:24:00+00:00
3428f982ac6a,data/sources/inat/images/82493614/136996345.jpg,inat_82493614,otter-0014,whole_body,347,306,373,489,2048,1367,,,2026-07-28T15:25:11+00:00
7316d4f18312,data/sources/inat/images/82493614/136996340.jpg,inat_82493614,otter-0014,whole_body,882,467,284,299,2048,1367,,,2026-07-28T15:26:02+00:00
