negative_id,image_path,observation_id,body_part,bbox_x,bbox_y,bbox_w,bbox_h,img_width,img_height,detector_model,confidence,created_at
feaf41d6623a,data/sources/inat/images/253840463/454584398.jpeg,inat_253840463,whole_body,1610,677,438,396,2048,1536,best.pt,0.8734466433525085,2026-07-30T20:40:39+00:00
d1003dbc2826,data/sources/inat/images/253840463/454584398.jpeg,inat_253840463,whole_body,996,741,351,316,2048,1536,best.pt,0.5296027064323425,2026-07-30T20:40:41+00:00
284c394c2023,data/sources/inat/images/253840463/454584398.jpeg,inat_253840463,throat,1865,758,100,154,2048,1536,best.pt,0.4169754087924957,2026-07-30T20:40:43+00:00
72db97ab3a32,data/sources/inat/images/254187696/455242559.jpeg,inat_254187696,whole_body,1421,120,627,940,2048,1363,best.pt,0.6632081270217896,2026-07-30T20:41:03+00:00
ca52eed9c1f6,data/sources/inat/images/254187696/455242559.jpeg,inat_254187696,whole_body,3,0,269,1295,2048,1363,best.pt,0.3787428140640259,2026-07-30T20:41:05+00:00
4078b911543d,data/sources/inat/images/254315916/455488846.jpeg,inat_254315916,whole_body,1794,522,254,389,2048,1536,best.pt,0.2893250286579132,2026-07-30T20:42:24+00:00
7be3801497ec,data/sources/inat/images/254417969/455706981.jpg,inat_254417969,whole_body,1366,46,682,964,2048,1365,best.pt,0.912534475326538,2026-07-30T20:42:40+00:00
badc30f5dbeb,data/sources/inat/images/254417969/455706981.jpg,inat_254417969,whole_body,3,62,435,984,2048,1365,best.pt,0.436903566122055,2026-07-30T20:42:42+00:00
36c60eff8685,data/sources/inat/images/254551154/455971027.jpeg,inat_254551154,whole_body,0,7,641,1008,2048,1365,best.pt,0.5479332804679871,2026-07-30T20:42:46+00:00
a24de846c14c,data/sources/inat/images/260621654/468068084.jpg,inat_260621654,whole_body,7,685,741,1341,1536,2048,best.pt,0.4087883234024048,2026-07-30T20:46:41+00:00
d35902a814be,data/sources/inat/images/261409087/469627463.jpg,inat_261409087,whole_body,1434,409,612,762,2048,1365,best.pt,0.6196783185005188,2026-07-30T20:47:28+00:00
5f9fe9b3645c,data/sources/inat/images/262299263/471237294.jpeg,inat_262299263,whole_body,0,197,305,888,2048,1536,best.pt,0.3394334018230438,2026-07-30T20:48:12+00:00
61fabeb2beba,data/sources/inat/images/262299263/471237323.jpeg,inat_262299263,whole_body,3,61,448,955,2048,1536,best.pt,0.8900408148765564,2026-07-30T20:48:22+00:00
7c76f931f76b,data/sources/inat/images/265098610/476112099.jpg,inat_265098610,whole_body,0,648,154,562,2048,1365,best.pt,0.4108280837535858,2026-07-30T20:49:59+00:00
667c535b04ba,data/sources/inat/images/268456387/482550195.jpg,inat_268456387,whole_body,372,157,142,166,2048,1365,best.pt,0.2703525722026825,2026-07-30T21:05:07+00:00
23f44b6cfda0,data/sources/inat/images/269696516/485182241.jpeg,inat_269696516,whole_body,0,691,124,304,2048,1365,best.pt,0.33896005153656,2026-07-30T21:05:37+00:00
82bfddee9095,data/sources/inat/images/278470408/500004641.jpg,inat_278470408,whole_body,3,128,594,1192,2048,1365,best.pt,0.9244393110275269,2026-07-30T21:08:11+00:00
794052fae5e1,data/sources/inat/images/278470408/500004641.jpg,inat_278470408,throat,0,401,283,884,2048,1365,best.pt,0.377590537071228,2026-07-30T21:08:12+00:00
69d93aa24bd0,data/sources/inat/images/283989681/510331798.jpg,inat_283989681,throat,197,0,334,207,2048,1536,best.pt,0.3263019323348999,2026-07-30T21:08:36+00:00
8db1d29a0010,data/sources/inat/images/284716741/511713392.jpg,inat_284716741,throat,86,6,345,567,1280,960,best.pt,0.6870477199554443,2026-07-30T21:08:45+00:00
0a404d30186c,data/sources/inat/images/291037150/523604870.jpg,inat_291037150,whole_body,0,1185,228,351,2048,1536,best.pt,0.4619114696979522,2026-07-30T21:10:24+00:00
5f7599b12c21,data/sources/inat/images/292119011/525657945.jpg,inat_292119011,whole_body,8,30,538,1371,1536,2048,best.pt,0.3449244499206543,2026-07-30T21:10:35+00:00
0b32cb32020e,data/sources/inat/images/292119011/525657945.jpg,inat_292119011,throat,0,4,418,880,1536,2048,best.pt,0.2631973326206207,2026-07-30T21:10:37+00:00
e339bf78fa33,data/sources/inat/images/315781484/570488000.jpg,inat_315781484,whole_body,112,122,775,958,1440,1080,best.pt,0.3221720457077026,2026-07-30T21:22:32+00:00
e8403040f0f9,data/sources/inat/images/319389457/577338508.jpg,inat_319389457,whole_body,1604,114,396,914,2000,1420,best.pt,0.2903479933738708,2026-07-30T21:24:13+00:00
3f2359baec24,data/sources/inat/images/323264286/584896740.jpg,inat_323264286,throat,587,575,339,510,2048,1462,best.pt,0.4192708134651184,2026-07-30T21:27:27+00:00
c7633a20bf24,data/sources/inat/images/323893682/586105732.jpg,inat_323893682,whole_body,4,431,770,646,2048,1536,best.pt,0.4597236514091491,2026-07-30T21:28:54+00:00
9c406c4a35b2,data/sources/inat/images/325237035/588819710.jpg,inat_325237035,whole_body,103,357,1421,975,2048,1365,best.pt,0.3124599456787109,2026-07-30T21:29:51+00:00
91c57e986f86,data/sources/inat/images/330760696/599859194.jpg,inat_330760696,whole_body,45,991,1447,1057,1536,2048,best.pt,0.4302076995372772,2026-07-30T21:47:37+00:00
4dc173ca13b1,data/sources/inat/images/333951675/606350836.jpg,inat_333951675,whole_body,1592,11,408,941,2000,1333,best.pt,0.5190054178237915,2026-07-30T21:48:37+00:00
598e44e35026,data/sources/inat/images/334475688/607416956.jpg,inat_334475688,whole_body,0,0,434,856,2048,1365,best.pt,0.5367414355278015,2026-07-30T21:48:48+00:00
2e4408ef280c,data/sources/inat/images/335234671/608961572.jpg,inat_335234671,whole_body,75,664,151,283,2048,1536,best.pt,0.2857389748096466,2026-07-30T21:58:08+00:00
178735e35f59,data/sources/inat/images/336506575/611514856.jpg,inat_336506575,whole_body,0,24,364,1083,2048,1536,best.pt,0.5826774835586548,2026-07-30T21:59:34+00:00
b65f0f3782a3,data/sources/inat/images/343408469/625547666.jpg,inat_343408469,whole_body,1698,512,349,279,2048,1153,best.pt,0.5420979261398315,2026-07-30T22:05:48+00:00
e0fbd73d7db4,data/sources/inat/images/343408469/625548002.jpg,inat_343408469,whole_body,1698,541,348,251,2048,1153,best.pt,0.4123111963272095,2026-07-30T22:05:51+00:00
71f6d02cdb71,data/sources/inat/images/345304120/629270694.jpg,inat_345304120,whole_body,29,3,1513,480,1542,2048,best.pt,0.4444691240787506,2026-07-30T22:06:18+00:00
7eda18a3098f,data/sources/inat/images/345304120/629270694.jpg,inat_345304120,whole_body,66,11,1444,524,1542,2048,best.pt,0.3173663318157196,2026-07-30T22:06:20+00:00
cc3f5780b883,data/sources/inat/images/380093760/695307611.jpg,inat_380093760,whole_body,0,2,1492,450,2048,1536,best.pt,0.3587188720703125,2026-07-30T22:14:52+00:00
35dc534151a0,data/sources/inat/images/381088552/697263019.jpg,inat_381088552,whole_body,1,168,140,498,2048,945,best.pt,0.4114549160003662,2026-07-30T22:16:13+00:00
233f0cef57e6,data/sources/inat/images/54938813/87435739.jpg,inat_54938813,whole_body,16,108,968,828,2048,1365,best.pt,0.897277295589447,2026-07-30T22:25:09+00:00
8940c8391477,data/sources/inat/images/57692828/92047984.jpg,inat_57692828,whole_body,1635,353,413,1176,2048,1536,best.pt,0.3627749681472778,2026-07-30T22:25:56+00:00
7bb23efb208e,data/sources/inat/images/78678147/128791298.jpg,inat_78678147,whole_body,1333,34,715,1264,2048,1366,best.pt,0.3768500685691833,2026-07-30T22:35:29+00:00
24b5c5d32fb3,data/sources/inat/images/88493973/146014372.jpeg,inat_88493973,whole_body,0,270,101,404,2048,1371,best.pt,0.2561171054840088,2026-07-30T22:38:15+00:00
7aa7c5ed849c,data/sources/flickr/images/10536377623.jpg,flickr_f4dab5d5,whole_body,331,75,674,608,1024,683,best.pt,0.7178831696510315,2026-08-03T16:29:00+00:00
6accd150327a,data/sources/flickr/images/10536377623.jpg,flickr_f4dab5d5,throat,525,185,280,380,1024,683,best.pt,0.3557179570198059,2026-08-03T16:29:01+00:00
6e19b6d03ee6,data/sources/flickr/images/11324370934.jpg,flickr_bd9ef636,throat,453,457,38,47,1024,749,best.pt,0.3632878065109253,2026-08-03T16:31:10+00:00
2e8d5213ea3a,data/sources/flickr/images/11324370934.jpg,flickr_bd9ef636,throat_portrait,453,457,38,48,1024,749,best.pt,0.2904258370399475,2026-08-03T16:31:11+00:00
1864904b6632,data/sources/flickr/images/14073593774.jpg,flickr_862b937c,throat,637,522,423,424,2048,1365,best.pt,0.6477729678153992,2026-08-03T16:36:49+00:00
489808d6be01,data/sources/flickr/images/15861736784.jpg,flickr_f897aba8,throat,518,123,54,87,1024,768,best.pt,0.6959230303764343,2026-08-03T16:43:13+00:00
643bee8e146f,data/sources/flickr/images/16457889996.jpg,flickr_5e524d68,whole_body,8,15,712,945,720,960,best.pt,0.5445030331611633,2026-08-03T16:44:14+00:00
2a6218b7e2f4,data/sources/flickr/images/16458249236.jpg,flickr_f897aba8,whole_body,291,4,590,764,1024,768,best.pt,0.8946601152420044,2026-08-03T16:44:18+00:00
56abff76791d,data/sources/flickr/images/16483337372.jpg,flickr_f897aba8,throat_portrait,590,0,116,91,1024,768,best.pt,0.4649608433246612,2026-08-03T16:44:22+00:00
62158cc03e71,data/sources/flickr/images/16483337372.jpg,flickr_f897aba8,throat,592,0,114,95,1024,768,best.pt,0.3847657442092895,2026-08-03T16:44:23+00:00
c9c9d3742e4c,data/sources/flickr/images/16483337372.jpg,flickr_f897aba8,throat,445,311,141,286,1024,768,best.pt,0.2662695944309234,2026-08-03T16:44:24+00:00
23d6a9add26b,data/sources/flickr/images/20628502433.jpg,flickr_5018aeef,whole_body,242,45,483,544,749,601,best.pt,0.926139235496521,2026-08-03T16:48:02+00:00
0feac52fc4bc,data/sources/flickr/images/20628502433.jpg,flickr_5018aeef,throat,427,251,223,240,749,601,best.pt,0.4671415388584137,2026-08-03T16:48:03+00:00
be339ab3e713,data/sources/flickr/images/25582476144.jpg,flickr_50b76fe2,throat,1101,1591,79,108,3072,2048,best.pt,0.3950815200805664,2026-08-03T16:55:54+00:00
30b2885f5e3b,data/sources/flickr/images/25582476144.jpg,flickr_50b76fe2,throat,2705,1817,163,181,3072,2048,best.pt,0.3611527383327484,2026-08-03T16:55:55+00:00
7cc833b32353,data/sources/flickr/images/25582476144.jpg,flickr_50b76fe2,whole_body,1805,1426,157,174,3072,2048,best.pt,0.281912088394165,2026-08-03T16:55:56+00:00
037767ed36ce,data/sources/flickr/images/2811864954.jpg,flickr_4375f6e8,whole_body,147,0,71,44,500,375,best.pt,0.5331547856330872,2026-08-03T16:58:18+00:00
fd98ae6a3363,data/sources/flickr/images/29257382983.jpg,flickr_ed9b2669,throat,561,0,376,120,1024,768,best.pt,0.6164030432701111,2026-08-03T16:59:42+00:00
