source,encounter_id,photo_id,image_path,image_url,page_url,observed_at,observer,latitude,longitude,location_source,locality,license,quality_grade
inat,inat_34079,57948,data/sources/inat/images/34079/57948.jpg,https://static.inaturalist.org/photos/57948/original.jpg,http://www.inaturalist.org/observations/34079,2009-11-08,Brandon Sideleau,-17.2447169181,-56.6241838475,inat,"Mato Grosso, BR",,research
inat,inat_36298,61105,data/sources/inat/images/36298/61105.JPG,https://static.inaturalist.org/photos/61105/original.JPG,http://www.inaturalist.org/observations/36298,2007-06-12,markham,-12.9732299759,-69.2404460014,inat,"Tambopata, PE-MD, PE",cc-by-nc,research
inat,inat_171329,227530,data/sources/inat/images/171329/227530.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/227530/original.jpg,http://www.inaturalist.org/observations/171329,2012-11-19T17:03:51+00:00,Allan Hopkins,3.7821618152,-59.294796684,inat,"Upper Takutu-Upper Essequibo, GY",cc-by-nc-nd,research
inat,inat_171329,280812,data/sources/inat/images/171329/280812.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/280812/original.jpg,http://www.inaturalist.org/observations/171329,2012-11-19T17:03:51+00:00,Allan Hopkins,3.7821618152,-59.294796684,inat,"Upper Takutu-Upper Essequibo, GY",cc-by-nc-nd,research
inat,inat_171329,280848,data/sources/inat/images/171329/280848.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/280848/original.jpg,http://www.inaturalist.org/observations/171329,2012-11-19T17:03:51+00:00,Allan Hopkins,3.7821618152,-59.294796684,inat,"Upper Takutu-Upper Essequibo, GY",cc-by-nc-nd,research
inat,inat_218196,274941,data/sources/inat/images/218196/274941.JPG,https://inaturalist-open-data.s3.amazonaws.com/photos/274941/original.JPG,http://www.inaturalist.org/observations/218196,2011-10-21,Francisco Severo Neto,-19.6184682488,-56.9273603778,inat,"Mato Grosso do Sul, BR",cc-by-nc,research
inat,inat_262222,325048,data/sources/inat/images/262222/325048.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/325048/original.jpg,http://www.inaturalist.org/observations/262222,2012-11-19T17:02:45-04:00,Allan Hopkins,3.7014316712,-59.370088377,inat,"Upper Takutu-Upper Essequibo, GY",cc-by-nc-nd,research
inat,inat_477771,602999,data/sources/inat/images/477771/602999.jpg,https://static.inaturalist.org/photos/602999/original.jpg,http://www.inaturalist.org/observations/477771,2008-08-13T13:45:54-05:00,Theresa Bayoud,-12.4788205837,-70.6423035173,inat,"Manu, PE-MD, PE",cc-by-nc-nd,research
inat,inat_516364,658188,data/sources/inat/images/516364/658188.png,https://inaturalist-open-data.s3.amazonaws.com/photos/658188/original.png,http://www.inaturalist.org/observations/516364,2013-08-14,Douglas Trent,-16.6944970422,-57.874146511,inat,"Cáceres, BR-MT, BR",cc-by-nc,research
inat,inat_516371,658198,data/sources/inat/images/516371/658198.png,https://inaturalist-open-data.s3.amazonaws.com/photos/658198/original.png,http://www.inaturalist.org/observations/516371,2013-08-14,Douglas Trent,-16.6090451605,-57.9737665954,inat,"Cáceres, BR-MT, BR",cc-by-nc,research
inat,inat_516372,658199,data/sources/inat/images/516372/658199.png,https://inaturalist-open-data.s3.amazonaws.com/photos/658199/original.png,http://www.inaturalist.org/observations/516372,2013-08-14,Douglas Trent,-16.6550038941,-57.8980480808,inat,"Cáceres, BR-MT, BR",cc-by-nc,research
inat,inat_516373,658200,data/sources/inat/images/516373/658200.png,https://inaturalist-open-data.s3.amazonaws.com/photos/658200/original.png,http://www.inaturalist.org/observations/516373,2013-09-04,Douglas Trent,-16.7842381772,-57.8396203622,inat,"Cáceres, BR-MT, BR",cc-by-nc,research
inat,inat_516374,658201,data/sources/inat/images/516374/658201.png,https://inaturalist-open-data.s3.amazonaws.com/photos/658201/original.png,http://www.inaturalist.org/observations/516374,2013-09-04,Douglas Trent,-16.6068275311,-57.9923347534,inat,"Cáceres, BR-MT, BR",cc-by-nc,research
inat,inat_516377,658204,data/sources/inat/images/516377/658204.png,https://inaturalist-open-data.s3.amazonaws.com/photos/658204/original.png,http://www.inaturalist.org/observations/516377,2013-09-04,Douglas Trent,-16.6087743316,-57.934944285,inat,"Cáceres, BR-MT, BR",cc-by-nc,research
inat,inat_516378,658205,data/sources/inat/images/516378/658205.png,https://inaturalist-open-data.s3.amazonaws.com/photos/658205/original.png,http://www.inaturalist.org/observations/516378,2013-09-04,Douglas Trent,-16.6110921767,-57.8510336746,inat,"Cáceres, BR-MT, BR",cc-by-nc,research
inat,inat_516379,658206,data/sources/inat/images/516379/658206.png,https://inaturalist-open-data.s3.amazonaws.com/photos/658206/original.png,http://www.inaturalist.org/observations/516379,2013-09-04,Douglas Trent,-16.6257676675,-57.9543420888,inat,"Cáceres, BR-MT, BR",cc-by-nc,research
inat,inat_516380,658207,data/sources/inat/images/516380/658207.png,https://inaturalist-open-data.s3.amazonaws.com/photos/658207/original.png,http://www.inaturalist.org/observations/516380,2013-09-04,Douglas Trent,-16.6141587332,-57.6548090099,inat,"Cáceres, BR-MT, BR",cc-by-nc,research
inat,inat_516381,658208,data/sources/inat/images/516381/658208.png,https://inaturalist-open-data.s3.amazonaws.com/photos/658208/original.png,http://www.inaturalist.org/observations/516381,2013-09-04,Douglas Trent,-16.7121745175,-57.6208513787,inat,"Cáceres, BR-MT, BR",cc-by-nc,research
inat,inat_516382,658209,data/sources/inat/images/516382/658209.png,https://inaturalist-open-data.s3.amazonaws.com/photos/658209/original.png,http://www.inaturalist.org/observations/516382,2013-09-04,Douglas Trent,-16.7054209148,-57.6439519753,inat,"Cáceres, BR-MT, BR",cc-by-nc,research
inat,inat_516384,658211,data/sources/inat/images/516384/658211.png,https://inaturalist-open-data.s3.amazonaws.com/photos/658211/original.png,http://www.inaturalist.org/observations/516384,2013-09-04,Douglas Trent,-16.6973970239,-57.7483705635,inat,"Cáceres, BR-MT, BR",cc-by-nc,research
inat,inat_516385,658212,data/sources/inat/images/516385/658212.png,https://inaturalist-open-data.s3.amazonaws.com/photos/658212/original.png,http://www.inaturalist.org/observations/516385,2013-09-03,Douglas Trent,-16.6662101665,-57.8150443538,inat,"Cáceres, BR-MT, BR",cc-by-nc,research
inat,inat_516388,658216,data/sources/inat/images/516388/658216.png,https://inaturalist-open-data.s3.amazonaws.com/photos/658216/original.png,http://www.inaturalist.org/observations/516388,2013-09-03,Douglas Trent,-16.628193038,-57.9379438059,inat,"Cáceres, BR-MT, BR",cc-by-nc,research
inat,inat_516508,658390,data/sources/inat/images/516508/658390.png,https://inaturalist-open-data.s3.amazonaws.com/photos/658390/original.png,http://www.inaturalist.org/observations/516508,2013-09-03,Douglas Trent,-16.7533201368,-57.8578296817,inat,"Cáceres, BR-MT, BR",cc-by-nc,research
inat,inat_516509,658391,data/sources/inat/images/516509/658391.png,https://inaturalist-open-data.s3.amazonaws.com/photos/658391/original.png,http://www.inaturalist.org/observations/516509,2013-09-03,Douglas Trent,-16.6912932179,-57.8223479002,inat,"Cáceres, BR-MT, BR",cc-by-nc,research
inat,inat_516510,658392,data/sources/inat/images/516510/658392.png,https://inaturalist-open-data.s3.amazonaws.com/photos/658392/original.png,http://www.inaturalist.org/observations/516510,2013-09-03,Douglas Trent,-16.6659344982,-57.9521768766,inat,"Cáceres, BR-MT, BR",cc-by-nc,research
