id,owner,secret,ispublic,license,dateupload,datetaken,ownername,latitude,longitude,accuracy,encounter_id,image_url
74656353,72089871@N00,4b52505a66,1,0,1134885860,2005-12-17 22:04:20,beachcombersrus,,,0,flickr_cabf5f1d,https://live.staticflickr.com/40/74656353_4b52505a66_w.jpg
74656640,72089871@N00,f370d60561,1,0,1134885924,2005-12-17 22:05:24,beachcombersrus,,,0,flickr_cabf5f1d,https://live.staticflickr.com/42/74656640_f370d60561_w.jpg
74657025,72089871@N00,b4bb4d5ec1,1,0,1134886002,2005-12-17 22:06:42,beachcombersrus,,,0,flickr_cabf5f1d,https://live.staticflickr.com/38/74657025_b4bb4d5ec1_w.jpg
102415465,59863704@N00,4cc56edc57,1,0,1140489741,2006-01-09 15:35:28,Flávio Cruvinel Brandão,,,0,flickr_15f8662d,https://live.staticflickr.com/38/102415465_4cc56edc57_o.jpg
171128803,42978673@N00,048fa7504e,1,0,1150788089,2006-04-14 00:00:16,az3,,,0,flickr_c4864c8b,https://live.staticflickr.com/71/171128803_048fa7504e_z.jpg
309843415,88033545@N00,158910cf77,1,0,1164844825,2005-10-10 08:00:25,Joaquim Mello,,,0,flickr_0c0214a0,https://live.staticflickr.com/117/309843415_158910cf77_o.jpg
344710221,88033545@N00,df7276ef6f,1,0,1167869909,2006-12-31 10:27:31,Joaquim Mello,,,0,flickr_5bd210b2,https://live.staticflickr.com/160/344710221_f88aa38f6c_h.jpg
500189852,95389180@N00,8067dee231,1,0,1179277940,2007-05-14 14:02:08,Arlete Reino Pellanda,,,0,flickr_3cff4012,https://live.staticflickr.com/203/500189852_8067dee231_b.jpg
525368219,85879816@N00,c45ed82cc1,1,0,1180730827,2007-06-01 13:47:07,Cigh!,-6.002545,-74.958000,12,flickr_06f85f5b,https://live.staticflickr.com/1209/525368219_c45ed82cc1.jpg
855907333,90901507@N00,ea0b045fe4,1,4,1184905308,2007-07-14 14:23:02,belgianchocolate,,,0,flickr_efac7c96,https://live.staticflickr.com/1411/855907333_fd073e6939_k.jpg
898902495,52128664@N00,2c020309b0,1,0,1185404876,2007-07-25 17:39:41,rasgr,53.597216,9.940706,16,flickr_83e1ed3f,https://live.staticflickr.com/1416/898902495_620e44d62a_3k.jpg
15809894,31109147@N00,817f9b0879,1,0,1117133844,2005-05-26 11:57:24,markren,,,0,flickr_239c5066,https://live.staticflickr.com/12/15809894_817f9b0879_c.jpg
15809895,31109147@N00,8dc69c1c31,1,0,1117133844,2005-05-26 11:57:24,markren,,,0,flickr_239c5066,https://live.staticflickr.com/10/15809895_8dc69c1c31_c.jpg
15809897,31109147@N00,f9b1d12d14,1,0,1117133844,2005-05-26 11:57:24,markren,,,0,flickr_239c5066,https://live.staticflickr.com/12/15809897_f9b1d12d14_c.jpg
15948611,31109147@N00,d10ea5e0f6,1,0,1117211392,2005-05-27 09:29:52,markren,,,0,flickr_ed97bdcc,https://live.staticflickr.com/13/15948611_d10ea5e0f6_c.jpg
16020980,54134967@N00,8c912ac4bb,1,0,1117250151,2003-10-21 03:05:40,tangerinepython,,,0,flickr_6914cfc4,https://live.staticflickr.com/12/16020980_9a153a147f_k.jpg
27448033,96165663@N00,5e98440795,1,0,1121904764,2005-06-01 00:00:00,cdmeliza,,,0,flickr_cee2cf8d,https://live.staticflickr.com/22/27448033_5e98440795_b.jpg
27448057,96165663@N00,f23c776707,1,0,1121904771,2005-06-01 00:00:00,cdmeliza,,,0,flickr_cee2cf8d,https://live.staticflickr.com/23/27448057_f23c776707_b.jpg
40204431,96583202@N00,1668e67ce8,1,0,1125865547,2005-06-09 10:54:47,looey,,,0,flickr_9b931239,https://live.staticflickr.com/22/40204431_1668e67ce8_c.jpg
98666232,80651083@N00,06dbaaa3ce,1,0,1139748279,2003-10-30 10:00:00,Thad Roan - Bridgepix,35.055715,-85.310554,16,flickr_a8995bb2,https://live.staticflickr.com/40/98666232_06dbaaa3ce_b.jpg
115566530,45913347@N00,846e74d8b8,1,0,1142902110,2006-03-19 14:20:53,morningphase,,,0,flickr_e368e02b,https://live.staticflickr.com/49/115566530_846e74d8b8_z.jpg
115566531,45913347@N00,2a81976480,1,0,1142902110,2006-03-19 14:21:00,morningphase,,,0,flickr_e368e02b,https://live.staticflickr.com/34/115566531_2a81976480_z.jpg
116582877,32454731@N00,b67922c10f,1,6,1143078983,2006-03-15 16:55:31,reader of the pack,,,0,flickr_cae89c4c,https://live.staticflickr.com/38/116582877_b67922c10f_c.jpg
137820212,21209195@N00,d3a67752ec,1,0,1146439844,2006-04-30 16:30:44,orsisgreat,,,0,flickr_0d590c45,https://live.staticflickr.com/55/137820212_d3a67752ec_b.jpg
155096032,83695512@N00,e49201ad88,1,3,1148856262,2006-05-27 12:39:14,u2rob,,,0,flickr_bb6c5c7f,https://live.staticflickr.com/53/155096032_e49201ad88_c.jpg
155096327,83695512@N00,5442f40334,1,3,1148856288,2006-05-27 12:40:52,u2rob,,,0,flickr_bb6c5c7f,https://live.staticflickr.com/56/155096327_5442f40334_c.jpg
190935695,66195537@N00,11a534e3c7,1,0,1153074311,2006-07-15 14:44:08,Fender07,,,0,flickr_9456f1b5,https://live.staticflickr.com/78/190935695_11a534e3c7_b.jpg
