id,whole_body_count,whole_body_max_score,throat_count,throat_max_score,throat_portrait_count,throat_portrait_max_score,detections_json,is_target_region
10003682634,2,0.2579902112483978,1,0.17871129512786865,0,,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.2579902112483978,""bbox_xyxy"":[96.81611633300781,38.91998291015625,658.4935913085938,685.0594482421875]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.17871129512786865,""bbox_xyxy"":[507.4082946777344,164.47975158691406,626.3930053710938,301.8812255859375]},{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.045575208961963654,""bbox_xyxy"":[105.85664367675781,48.5845947265625,531.9849243164062,752.5000610351562]}]",0
10077917654,1,0.3356477618217468,0,,0,,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.3356477618217468,""bbox_xyxy"":[5.950707912445068,134.05508422851562,588.8837890625,617.8677978515625]}]",0
10078060833,0,,0,,0,,[],0
10138343334,1,0.32682910561561584,3,0.08454850316047668,0,,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.32682910561561584,""bbox_xyxy"":[186.19639587402344,0.0,967.5143432617188,592.0588989257812]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.08454850316047668,""bbox_xyxy"":[291.0169677734375,331.9508056640625,536.5945434570312,519.298828125]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.049975909292697906,""bbox_xyxy"":[253.7219696044922,331.4325866699219,536.9163818359375,533.1504516601562]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.011823082342743874,""bbox_xyxy"":[245.9767608642578,364.0133056640625,495.04522705078125,536.7579956054688]}]",0
10142658375,0,,1,0.010236768051981926,0,,"[{""class_id"":1,""class_name"":""throat"",""confidence"":0.010236768051981926,""bbox_xyxy"":[384.9316101074219,320.56903076171875,493.6742248535156,466.01263427734375]}]",0
10214097196,1,0.9216976165771484,0,,0,,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.9216976165771484,""bbox_xyxy"":[207.42247009277344,222.082763671875,1630.4700927734375,905.254638671875]}]",0
102415465,2,0.5920953750610352,2,0.5681583285331726,0,,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.5920953750610352,""bbox_xyxy"":[323.9796142578125,91.8893051147461,1079.2440185546875,794.21826171875]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.5681583285331726,""bbox_xyxy"":[414.9355163574219,344.4777526855469,714.1743774414062,551.5221557617188]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.12341801822185516,""bbox_xyxy"":[413.99383544921875,345.5688781738281,713.2640380859375,582.3510131835938]},{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.10664195567369461,""bbox_xyxy"":[322.00091552734375,93.19210052490234,1073.173583984375,790.6656494140625]}]",0
10350144805,0,,0,,0,,[],0
10372707366,3,0.8598824143409729,3,0.9502403736114502,4,0.14524537324905396,"[{""class_id"":1,""class_name"":""throat"",""confidence"":0.9502403736114502,""bbox_xyxy"":[283.7567443847656,140.23521423339844,375.84375,260.3411560058594]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.9018456935882568,""bbox_xyxy"":[583.428955078125,234.44082641601562,686.246337890625,324.3370361328125]},{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.8598824143409729,""bbox_xyxy"":[368.0339050292969,162.4758758544922,724.7821655273438,414.3638610839844]},{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.7669625878334045,""bbox_xyxy"":[157.13941955566406,104.52703094482422,395.5693054199219,319.9048767089844]},{""class_id"":2,""class_name"":""throat_portrait"",""confidence"":0.14524537324905396,""bbox_xyxy"":[587.3563232421875,236.73094177246094,676.5486450195312,322.2823791503906]},{""class_id"":2,""class_name"":""throat_portrait"",""confidence"":0.1099047064781189,""bbox_xyxy"":[285.43341064453125,140.2838897705078,377.5251159667969,261.357421875]},{""class_id"":2,""class_name"":""throat_portrait"",""confidence"":0.035877570509910583,""bbox_xyxy"":[584.6138305664062,235.54661560058594,682.8295288085938,325.48382568359375]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.015077981166541576,""bbox_xyxy"":[584.54736328125,234.99392700195312,686.6033935546875,324.6279602050781]},{""class_id"":2,""class_name"":""throat_portrait"",""confidence"":0.01080392487347126,""bbox_xyxy"":[287.0690612792969,140.4882354736328,365.8326721191406,257.4871520996094]},{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.010189784690737724,""bbox_xyxy"":[792.9335327148438,481.0784606933594,952.4921875,509.0]}]",0
10405945934,0,,0,,0,,[],0
10405962045,0,,0,,0,,[],0
10405975946,0,,0,,0,,[],0
10450834955,2,0.7153244018554688,1,0.9293382167816162,1,0.9589743614196777,"[{""class_id"":2,""class_name"":""throat_portrait"",""confidence"":0.9589743614196777,""bbox_xyxy"":[930.3956909179688,1154.0870361328125,1528.9027099609375,2132.8076171875]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.9293382167816162,""bbox_xyxy"":[932.3203735351562,1152.4017333984375,1539.7900390625,2137.296142578125]},{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.7153244018554688,""bbox_xyxy"":[513.2786254882812,652.3718872070312,2268.066650390625,2705.0]},{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.12805049121379852,""bbox_xyxy"":[543.0166625976562,667.600341796875,2386.72705078125,2705.0]}]",0
10513776436,0,,0,,0,,[],0
10527422294,1,0.48946765065193176,1,0.32623642683029175,1,0.03328840062022209,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.48946765065193176,""bbox_xyxy"":[258.6366271972656,140.017578125,434.6620788574219,284.0137939453125]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.32623642683029175,""bbox_xyxy"":[285.08489990234375,152.24501037597656,373.0230712890625,274.9618225097656]},{""class_id"":2,""class_name"":""throat_portrait"",""confidence"":0.03328840062022209,""bbox_xyxy"":[283.671142578125,150.5895538330078,373.2629089355469,276.8759460449219]}]",0
10536148956,0,,0,,0,,[],0
10536169745,0,,0,,0,,[],0
10536170256,1,0.011746554635465145,0,,0,,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.011746554635465145,""bbox_xyxy"":[175.1809539794922,215.22828674316406,560.5040893554688,919.3809204101562]}]",0
