observation_id,photo_id,position,license_code,attribution,url,original_url,width,height,retrieved_at
34079,57948,0,,"(c) Brandon Sideleau, all rights reserved",https://static.inaturalist.org/photos/57948/square.jpg,https://static.inaturalist.org/photos/57948/original.jpg,900,600,2026-09-13T02:26:12.474594+00:00
36298,61105,0,,"(c) markham, all rights reserved",https://static.inaturalist.org/photos/61105/square.JPG,https://static.inaturalist.org/photos/61105/original.JPG,2048,1232,2026-09-13T02:26:12.474594+00:00
171329,227530,0,cc-by-nc-nd,"(c) Allan Hopkins, some rights reserved (CC BY-NC-ND)",https://inaturalist-open-data.s3.amazonaws.com/photos/227530/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/227530/original.jpg,1990,1422,2026-09-13T02:26:12.474594+00:00
171329,280812,1,cc-by-nc-nd,"(c) Allan Hopkins, some rights reserved (CC BY-NC-ND)",https://inaturalist-open-data.s3.amazonaws.com/photos/280812/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/280812/original.jpg,1240,886,2026-09-13T02:26:12.474594+00:00
171329,280848,2,cc-by-nc-nd,"(c) Allan Hopkins, some rights reserved (CC BY-NC-ND)",https://inaturalist-open-data.s3.amazonaws.com/photos/280848/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/280848/original.jpg,1240,886,2026-09-13T02:26:12.474594+00:00
218196,274941,0,cc-by-nc,"(c) Francisco Severo Neto, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/274941/square.JPG,https://inaturalist-open-data.s3.amazonaws.com/photos/274941/original.JPG,2048,1536,2026-09-13T02:26:12.474594+00:00
262222,325048,0,cc-by-nc-nd,"(c) Allan Hopkins, some rights reserved (CC BY-NC-ND)",https://inaturalist-open-data.s3.amazonaws.com/photos/325048/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/325048/original.jpg,1280,914,2026-09-13T02:26:12.474594+00:00
477771,602999,0,,"(c) Theresa Bayoud, all rights reserved",https://static.inaturalist.org/photos/602999/square.jpg,https://static.inaturalist.org/photos/602999/original.jpg,1200,807,2026-09-13T02:26:12.474594+00:00
516364,658188,0,cc-by-nc,"(c) Douglas Trent, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/658188/square.png,https://inaturalist-open-data.s3.amazonaws.com/photos/658188/original.png,122,210,2026-09-13T02:26:12.474594+00:00
516371,658198,0,cc-by-nc,"(c) Douglas Trent, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/658198/square.png,https://inaturalist-open-data.s3.amazonaws.com/photos/658198/original.png,113,182,2026-09-13T02:26:12.474594+00:00
516372,658199,0,cc-by-nc,"(c) Douglas Trent, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/658199/square.png,https://inaturalist-open-data.s3.amazonaws.com/photos/658199/original.png,104,227,2026-09-13T02:26:12.474594+00:00
516373,658200,0,cc-by-nc,"(c) Douglas Trent, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/658200/square.png,https://inaturalist-open-data.s3.amazonaws.com/photos/658200/original.png,143,212,2026-09-13T02:26:12.474594+00:00
516374,658201,0,cc-by-nc,"(c) Douglas Trent, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/658201/square.png,https://inaturalist-open-data.s3.amazonaws.com/photos/658201/original.png,193,215,2026-09-13T02:26:12.474594+00:00
